siteId,requirementKind,declaringEntry,condition,evaluationSiteCategory,typeFamily,disposition,dischargeStory,premiseTier,group,conflict,deferralCited,derivation,openQuestion,sources
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,construction-row-action-operand,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,construction-row-action-operand,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,state-hook-action-operand,primitive,defined,division-primitive,state-hook-write,g02,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,state-hook-action-operand,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,state-hook-action-operand,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,state-hook-action-operand,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,transition-row-guard,primitive,defined,division-primitive,guard,g03,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,transition-row-guard,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,transition-row-guard,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,transition-row-guard,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,state-hook-guard,primitive,defined,division-primitive,guard,g03,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,state-hook-guard,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,state-hook-guard,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,state-hook-guard,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,access-mode-guard,primitive,defined,division-primitive,guard,g03,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,access-mode-guard,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,access-mode-guard,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,access-mode-guard,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,reject-message-interpolation,primitive,defined,division-primitive,message,g06,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,reject-message-interpolation,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,reject-message-interpolation,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,reject-message-interpolation,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,rule-condition,primitive,defined,division-primitive,constraint,g04,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,rule-condition,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,rule-condition,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,rule-condition,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,rule-activation-guard,primitive,defined,division-primitive,guard,g03,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,rule-activation-guard,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,rule-activation-guard,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,rule-activation-guard,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,state-ensure-condition,primitive,defined,division-primitive,constraint,g04,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,state-ensure-condition,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,state-ensure-condition,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,state-ensure-condition,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,event-ensure-condition,primitive,defined,division-primitive,constraint,g04,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,event-ensure-condition,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,event-ensure-condition,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,event-ensure-condition,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,ensure-activation-guard,primitive,defined,division-primitive,guard,g03,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,ensure-activation-guard,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,ensure-activation-guard,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,ensure-activation-guard,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,constraint-rationale-interpolation,primitive,defined,division-primitive,message,g06,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,constraint-rationale-interpolation,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,constraint-rationale-interpolation,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,constraint-rationale-interpolation,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,computed-field-expression,primitive,defined,division-primitive,constraint,g04,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,computed-field-expression,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,computed-field-expression,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,computed-field-expression,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,field-default-value-expression,primitive,defined,division-primitive,declaration,g05,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,field-default-value-expression,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,field-default-value-expression,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,field-default-value-expression,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,field-modifier-value-expression,primitive,defined,division-primitive,declaration,g05,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,field-modifier-value-expression,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,field-modifier-value-expression,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,field-modifier-value-expression,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,event-arg-modifier-value-expression,primitive,defined,division-primitive,declaration,g05,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,event-arg-modifier-value-expression,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,event-arg-modifier-value-expression,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,event-arg-modifier-value-expression,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,collection-inner-type-modifier-value-expression,primitive,defined,division-primitive,declaration,g05,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,collection-inner-type-modifier-value-expression,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,collection-inner-type-modifier-value-expression,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,collection-inner-type-modifier-value-expression,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,type-qualifier-expression,primitive,defined,division-primitive,declaration,g05,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,type-qualifier-expression,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,type-qualifier-expression,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,type-qualifier-expression,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,quantifier-predicate,primitive,defined,division-primitive,constraint,g04,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,quantifier-predicate,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,quantifier-predicate,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,quantifier-predicate,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,operand-free-action-precondition,primitive,empty,,,,,,"the operand-free action-precondition category holds no authored expression, so no operator, function or accessor site can occur inside it",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,operand-free-action-precondition,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,operand-free-action-precondition,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,operand-free-action-precondition,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,choice-value-expression,primitive,empty,,,,,,"the choice value production admits only string/number/true/false literals (eval-site enumeration, choice-value-expression derivation), so no operator, function, accessor or action occurs here and no catalog site can attach",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,choice-value-expression,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,choice-value-expression,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,choice-value-expression,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerModuloInteger/numeric-0,Numeric,IntegerModuloInteger — integer % integer,Divisor must be non-zero,transition-row-action-operand,primitive,defined,division-primitive,write-full,g01,,,,,
op/IntegerModuloInteger/numeric-0,Numeric,IntegerModuloInteger — integer % integer,Divisor must be non-zero,transition-row-action-operand,temporal,empty,,,,,,"no operand or subject of `IntegerModuloInteger — integer % integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerModuloInteger/numeric-0,Numeric,IntegerModuloInteger — integer % integer,Divisor must be non-zero,transition-row-action-operand,business-domain,empty,,,,,,"no operand or subject of `IntegerModuloInteger — integer % integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerModuloInteger/numeric-0,Numeric,IntegerModuloInteger — integer % integer,Divisor must be non-zero,transition-row-action-operand,collection,empty,,,,,,"no operand or subject of `IntegerModuloInteger — integer % integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerModuloInteger/numeric-0,Numeric,IntegerModuloInteger — integer % integer,Divisor must be non-zero,stateless-hook-action-operand,primitive,conflicted,,,,"docs/language/precept-language-spec.md § Stateless event hook states that handlers do not support `when` guards, while samples/Test2.precept:4 writes one and HEAD both accepts it and consumes it as a premise (measured run recorded in the evaluation-site enumeration). A defined cell must state its applicable premise-class set, and whether class (c) exists here turns on which source is right. Routed to the owner; the obligation side is settled and these cells become defined the moment the class set is ruled.",,,,"['docs/language/precept-language-spec.md § Stateless event hook', 'samples/Test2.precept:4']"
op/IntegerModuloInteger/numeric-0,Numeric,IntegerModuloInteger — integer % integer,Divisor must be non-zero,stateless-hook-action-operand,temporal,empty,,,,,,"no operand or subject of `IntegerModuloInteger — integer % integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerModuloInteger/numeric-0,Numeric,IntegerModuloInteger — integer % integer,Divisor must be non-zero,stateless-hook-action-operand,business-domain,empty,,,,,,"no operand or subject of `IntegerModuloInteger — integer % integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerModuloInteger/numeric-0,Numeric,IntegerModuloInteger — integer % integer,Divisor must be non-zero,stateless-hook-action-operand,collection,empty,,,,,,"no operand or subject of `IntegerModuloInteger — integer % integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerModuloInteger/numeric-0,Numeric,IntegerModuloInteger — integer % integer,Divisor must be non-zero,construction-row-action-operand,primitive,defined,division-primitive,construction,g02,,,,,
op/IntegerModuloInteger/numeric-0,Numeric,IntegerModuloInteger — integer % integer,Divisor must be non-zero,construction-row-action-operand,temporal,empty,,,,,,"no operand or subject of `IntegerModuloInteger — integer % integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerModuloInteger/numeric-0,Numeric,IntegerModuloInteger — integer % integer,Divisor must be non-zero,construction-row-action-operand,business-domain,empty,,,,,,"no operand or subject of `IntegerModuloInteger — integer % integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
