// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 10 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/" /p:OutDir="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/publish/" in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1
// command took 1.23 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/" /p:OutDir="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/publish/" --output "/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1
// command took 8.73 sec and exited with 0
// ***** Done, took 00:00:10 (10.03 sec)   *****
// Found 10 benchmarks:
//   ArithmeticBench.Dec_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Rat_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Dec_Chain: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Rat_Chain: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Dec_Div: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Ucum_Div: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Rat_Div: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Dec_Mul: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Ucum_Mul: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Rat_Mul: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

// **************************
// Benchmark: ArithmeticBench.Dec_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Precept.Bench-ShortRun-1.dll --anonymousPipes 108 109 --benchmarkName Precept.Bench.ArithmeticBench.Dec_Add --job ShortRun --benchmarkId 0 in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 10.0.8 (10.0.826.23019), Arm64 RyuJIT AdvSIMD
// GC=Concurrent Workstation
// HardwareIntrinsics=AdvSIMD,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

WorkloadWarmup   2: 134217728 op, 558720959.00 ns, 4.1628 ns/op
WorkloadWarmup   3: 134217728 op, 558389375.00 ns, 4.1603 ns/op

// BeforeActualRun
WorkloadActual   1: 134217728 op, 558928181.00 ns, 4.1643 ns/op
WorkloadActual   2: 134217728 op, 559440135.00 ns, 4.1682 ns/op
WorkloadActual   3: 134217728 op, 558904775.00 ns, 4.1642 ns/op

// AfterActualRun
WorkloadResult   1: 134217728 op, 370682375.00 ns, 2.7618 ns/op
WorkloadResult   2: 134217728 op, 371194329.00 ns, 2.7656 ns/op
WorkloadResult   3: 134217728 op, 370658969.00 ns, 2.7616 ns/op
// GC:  0 0 0 0 134217728
// Threading:  0 0 134217728

// AfterAll
// Benchmark Process 247345 has exited with code 0.

Mean = 2.763 ns, StdErr = 0.001 ns (0.05%), N = 3, StdDev = 0.002 ns
Min = 2.762 ns, Q1 = 2.762 ns, Median = 2.762 ns, Q3 = 2.764 ns, Max = 2.766 ns
IQR = 0.002 ns, LowerFence = 2.759 ns, UpperFence = 2.767 ns
ConfidenceInterval = [2.722 ns; 2.804 ns] (CI 99.9%), Margin = 0.041 ns (1.49% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2

// ** Remained 9 (90.0%) benchmark(s) to run. Estimated finish 2026-06-15 20:33 (0h 1m from now) **
// **************************
// Benchmark: ArithmeticBench.Rat_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Precept.Bench-ShortRun-1.dll --anonymousPipes 108 109 --benchmarkName Precept.Bench.ArithmeticBench.Rat_Add --job ShortRun --benchmarkId 1 in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 10.0.8 (10.0.826.23019), Arm64 RyuJIT AdvSIMD
// GC=Concurrent Workstation
// HardwareIntrinsics=AdvSIMD,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 106882.00 ns, 106.8820 us/op
WorkloadJitting  1: 1 op, 236581.00 ns, 236.5810 us/op

OverheadJitting  2: 16 op, 119859.00 ns, 7.4912 us/op
WorkloadJitting  2: 16 op, 113730.00 ns, 7.1081 us/op

WorkloadPilot    1: 16 op, 2448.00 ns, 153.0000 ns/op
WorkloadPilot    2: 32 op, 2032.00 ns, 63.5000 ns/op
WorkloadPilot    3: 64 op, 3472.00 ns, 54.2500 ns/op
WorkloadPilot    4: 128 op, 6625.00 ns, 51.7578 ns/op
WorkloadPilot    5: 256 op, 13040.00 ns, 50.9375 ns/op
WorkloadPilot    6: 512 op, 25617.00 ns, 50.0332 ns/op
WorkloadPilot    7: 1024 op, 53313.00 ns, 52.0635 ns/op
WorkloadPilot    8: 2048 op, 102370.00 ns, 49.9854 ns/op
WorkloadPilot    9: 4096 op, 203108.00 ns, 49.5869 ns/op
WorkloadPilot   10: 8192 op, 406104.00 ns, 49.5732 ns/op
WorkloadPilot   11: 16384 op, 825375.00 ns, 50.3769 ns/op
WorkloadPilot   12: 32768 op, 1629198.00 ns, 49.7192 ns/op
WorkloadPilot   13: 65536 op, 3243932.00 ns, 49.4985 ns/op
WorkloadPilot   14: 131072 op, 6487303.00 ns, 49.4942 ns/op
WorkloadPilot   15: 262144 op, 12993823.00 ns, 49.5675 ns/op
WorkloadPilot   16: 524288 op, 25964942.00 ns, 49.5242 ns/op
WorkloadPilot   17: 1048576 op, 51958957.00 ns, 49.5519 ns/op
WorkloadPilot   18: 2097152 op, 52007438.00 ns, 24.7991 ns/op
WorkloadPilot   19: 4194304 op, 64642886.00 ns, 15.4121 ns/op
WorkloadPilot   20: 8388608 op, 128134696.00 ns, 15.2748 ns/op
WorkloadPilot   21: 16777216 op, 256756778.00 ns, 15.3039 ns/op
WorkloadPilot   22: 33554432 op, 513156426.00 ns, 15.2933 ns/op

OverheadWarmup   1: 33554432 op, 57068490.00 ns, 1.7008 ns/op
OverheadWarmup   2: 33554432 op, 57025209.00 ns, 1.6995 ns/op
OverheadWarmup   3: 33554432 op, 57081786.00 ns, 1.7012 ns/op
OverheadWarmup   4: 33554432 op, 51398897.00 ns, 1.5318 ns/op
OverheadWarmup   5: 33554432 op, 47122387.00 ns, 1.4044 ns/op
OverheadWarmup   6: 33554432 op, 47129587.00 ns, 1.4046 ns/op
OverheadWarmup   7: 33554432 op, 47136947.00 ns, 1.4048 ns/op
OverheadWarmup   8: 33554432 op, 47114099.00 ns, 1.4041 ns/op

OverheadActual   1: 33554432 op, 47097363.00 ns, 1.4036 ns/op
OverheadActual   2: 33554432 op, 47201845.00 ns, 1.4067 ns/op
OverheadActual   3: 33554432 op, 47152420.00 ns, 1.4053 ns/op
OverheadActual   4: 33554432 op, 47164803.00 ns, 1.4056 ns/op
OverheadActual   5: 33554432 op, 47123699.00 ns, 1.4044 ns/op
OverheadActual   6: 33554432 op, 47182596.00 ns, 1.4062 ns/op
OverheadActual   7: 33554432 op, 47176629.00 ns, 1.4060 ns/op
OverheadActual   8: 33554432 op, 47149428.00 ns, 1.4052 ns/op
OverheadActual   9: 33554432 op, 47117171.00 ns, 1.4042 ns/op
OverheadActual  10: 33554432 op, 47156995.00 ns, 1.4054 ns/op
OverheadActual  11: 33554432 op, 47180915.00 ns, 1.4061 ns/op
OverheadActual  12: 33554432 op, 47148034.00 ns, 1.4051 ns/op
OverheadActual  13: 33554432 op, 47156739.00 ns, 1.4054 ns/op
OverheadActual  14: 33554432 op, 47156387.00 ns, 1.4054 ns/op
OverheadActual  15: 33554432 op, 47164483.00 ns, 1.4056 ns/op

WorkloadWarmup   1: 33554432 op, 513351548.00 ns, 15.2991 ns/op
WorkloadWarmup   2: 33554432 op, 513623963.00 ns, 15.3072 ns/op
WorkloadWarmup   3: 33554432 op, 513015708.00 ns, 15.2891 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 512904099.00 ns, 15.2857 ns/op
WorkloadActual   2: 33554432 op, 513318216.00 ns, 15.2981 ns/op
WorkloadActual   3: 33554432 op, 513673031.00 ns, 15.3086 ns/op

// AfterActualRun
WorkloadResult   1: 33554432 op, 465747360.00 ns, 13.8804 ns/op
WorkloadResult   2: 33554432 op, 466161477.00 ns, 13.8927 ns/op
WorkloadResult   3: 33554432 op, 466516292.00 ns, 13.9033 ns/op
// GC:  0 0 0 0 33554432
// Threading:  0 0 33554432

// AfterAll
// Benchmark Process 247523 has exited with code 0.

Mean = 13.892 ns, StdErr = 0.007 ns (0.05%), N = 3, StdDev = 0.011 ns
Min = 13.880 ns, Q1 = 13.887 ns, Median = 13.893 ns, Q3 = 13.898 ns, Max = 13.903 ns
IQR = 0.011 ns, LowerFence = 13.869 ns, UpperFence = 13.915 ns
ConfidenceInterval = [13.683 ns; 14.101 ns] (CI 99.9%), Margin = 0.209 ns (1.51% of Mean)
Skewness = -0.05, Kurtosis = 0.67, MValue = 2

// ** Remained 8 (80.0%) benchmark(s) to run. Estimated finish 2026-06-15 20:32 (0h 1m from now) **
// **************************
// Benchmark: ArithmeticBench.Dec_Chain: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Precept.Bench-ShortRun-1.dll --anonymousPipes 108 109 --benchmarkName Precept.Bench.ArithmeticBench.Dec_Chain --job ShortRun --benchmarkId 2 in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 10.0.8 (10.0.826.23019), Arm64 RyuJIT AdvSIMD
// GC=Concurrent Workstation
// HardwareIntrinsics=AdvSIMD,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 128770.00 ns, 128.7700 us/op
WorkloadJitting  1: 1 op, 202708.00 ns, 202.7080 us/op

OverheadJitting  2: 16 op, 119362.00 ns, 7.4601 us/op
WorkloadJitting  2: 16 op, 137426.00 ns, 8.5891 us/op

WorkloadPilot    1: 16 op, 2224.00 ns, 139.0000 ns/op
WorkloadPilot    2: 32 op, 2384.00 ns, 74.5000 ns/op
WorkloadPilot    3: 64 op, 4432.00 ns, 69.2500 ns/op
WorkloadPilot    4: 128 op, 8768.00 ns, 68.5000 ns/op
WorkloadPilot    5: 256 op, 17696.00 ns, 69.1250 ns/op
WorkloadPilot    6: 512 op, 34833.00 ns, 68.0332 ns/op
WorkloadPilot    7: 1024 op, 72050.00 ns, 70.3613 ns/op
WorkloadPilot    8: 2048 op, 139251.00 ns, 67.9937 ns/op
WorkloadPilot    9: 4096 op, 278549.00 ns, 68.0051 ns/op
WorkloadPilot   10: 8192 op, 555851.00 ns, 67.8529 ns/op
WorkloadPilot   11: 16384 op, 1111989.00 ns, 67.8704 ns/op
WorkloadPilot   12: 32768 op, 2227449.00 ns, 67.9763 ns/op
WorkloadPilot   13: 65536 op, 4453233.00 ns, 67.9509 ns/op
WorkloadPilot   14: 131072 op, 8924596.00 ns, 68.0893 ns/op
WorkloadPilot   15: 262144 op, 17851319.00 ns, 68.0974 ns/op
WorkloadPilot   16: 524288 op, 35623293.00 ns, 67.9460 ns/op
WorkloadPilot   17: 1048576 op, 64970773.00 ns, 61.9610 ns/op
WorkloadPilot   18: 2097152 op, 86166809.00 ns, 41.0875 ns/op
WorkloadPilot   19: 4194304 op, 172336099.00 ns, 41.0881 ns/op
WorkloadPilot   20: 8388608 op, 344670341.00 ns, 41.0879 ns/op
WorkloadPilot   21: 16777216 op, 689107710.00 ns, 41.0740 ns/op

OverheadWarmup   1: 16777216 op, 28518154.00 ns, 1.6998 ns/op
OverheadWarmup   2: 16777216 op, 28516473.00 ns, 1.6997 ns/op
OverheadWarmup   3: 16777216 op, 28539610.00 ns, 1.7011 ns/op
OverheadWarmup   4: 16777216 op, 28531258.00 ns, 1.7006 ns/op
OverheadWarmup   5: 16777216 op, 28518810.00 ns, 1.6999 ns/op
OverheadWarmup   6: 16777216 op, 28533866.00 ns, 1.7008 ns/op
OverheadWarmup   7: 16777216 op, 28510089.00 ns, 1.6993 ns/op

OverheadActual   1: 16777216 op, 28515017.00 ns, 1.6996 ns/op
OverheadActual   2: 16777216 op, 28595979.00 ns, 1.7045 ns/op
OverheadActual   3: 16777216 op, 28534042.00 ns, 1.7008 ns/op
OverheadActual   4: 16777216 op, 28509241.00 ns, 1.6993 ns/op
OverheadActual   5: 16777216 op, 28534569.00 ns, 1.7008 ns/op
OverheadActual   6: 16777216 op, 28542890.00 ns, 1.7013 ns/op
OverheadActual   7: 16777216 op, 28528314.00 ns, 1.7004 ns/op
OverheadActual   8: 16777216 op, 28602427.00 ns, 1.7048 ns/op
OverheadActual   9: 16777216 op, 28584730.00 ns, 1.7038 ns/op
OverheadActual  10: 16777216 op, 28444200.00 ns, 1.6954 ns/op
OverheadActual  11: 16777216 op, 24484592.00 ns, 1.4594 ns/op
OverheadActual  12: 16777216 op, 24487359.00 ns, 1.4596 ns/op
OverheadActual  13: 16777216 op, 24493439.00 ns, 1.4599 ns/op
OverheadActual  14: 16777216 op, 24490864.00 ns, 1.4598 ns/op
OverheadActual  15: 16777216 op, 24080760.00 ns, 1.4353 ns/op
OverheadActual  16: 16777216 op, 23549502.00 ns, 1.4037 ns/op
OverheadActual  17: 16777216 op, 23585023.00 ns, 1.4058 ns/op
OverheadActual  18: 16777216 op, 23599295.00 ns, 1.4066 ns/op
OverheadActual  19: 16777216 op, 23576463.00 ns, 1.4053 ns/op
OverheadActual  20: 16777216 op, 23555726.00 ns, 1.4040 ns/op

WorkloadWarmup   1: 16777216 op, 689218780.00 ns, 41.0806 ns/op
WorkloadWarmup   2: 16777216 op, 691045011.00 ns, 41.1895 ns/op
WorkloadWarmup   3: 16777216 op, 689133657.00 ns, 41.0756 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 689555256.00 ns, 41.1007 ns/op
WorkloadActual   2: 16777216 op, 689562765.00 ns, 41.1011 ns/op
WorkloadActual   3: 16777216 op, 689853499.00 ns, 41.1185 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 663086436.50 ns, 39.5230 ns/op
WorkloadResult   2: 16777216 op, 663093945.50 ns, 39.5235 ns/op
WorkloadResult   3: 16777216 op, 663384679.50 ns, 39.5408 ns/op
// GC:  0 0 0 0 16777216
// Threading:  0 0 16777216

// AfterAll
// Benchmark Process 247659 has exited with code 0.

Mean = 39.529 ns, StdErr = 0.006 ns (0.01%), N = 3, StdDev = 0.010 ns
Min = 39.523 ns, Q1 = 39.523 ns, Median = 39.523 ns, Q3 = 39.532 ns, Max = 39.541 ns
IQR = 0.009 ns, LowerFence = 39.510 ns, UpperFence = 39.545 ns
ConfidenceInterval = [39.344 ns; 39.714 ns] (CI 99.9%), Margin = 0.185 ns (0.47% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2

// ** Remained 7 (70.0%) benchmark(s) to run. Estimated finish 2026-06-15 20:32 (0h 0m from now) **
// **************************
// Benchmark: ArithmeticBench.Rat_Chain: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Precept.Bench-ShortRun-1.dll --anonymousPipes 108 109 --benchmarkName Precept.Bench.ArithmeticBench.Rat_Chain --job ShortRun --benchmarkId 3 in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 10.0.8 (10.0.826.23019), Arm64 RyuJIT AdvSIMD
// GC=Concurrent Workstation
// HardwareIntrinsics=AdvSIMD,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 94657.00 ns, 94.6570 us/op
WorkloadJitting  1: 1 op, 266757.00 ns, 266.7570 us/op

OverheadJitting  2: 16 op, 105154.00 ns, 6.5721 us/op
WorkloadJitting  2: 16 op, 109490.00 ns, 6.8431 us/op

WorkloadPilot    1: 16 op, 10113.00 ns, 632.0625 ns/op
WorkloadPilot    2: 32 op, 14848.00 ns, 464.0000 ns/op
WorkloadPilot    3: 64 op, 49264.00 ns, 769.7500 ns/op
WorkloadPilot    4: 128 op, 91185.00 ns, 712.3828 ns/op
WorkloadPilot    5: 256 op, 131619.00 ns, 514.1367 ns/op
WorkloadPilot    6: 512 op, 248132.00 ns, 484.6328 ns/op
WorkloadPilot    7: 1024 op, 464745.00 ns, 453.8525 ns/op
WorkloadPilot    8: 2048 op, 1004275.00 ns, 490.3687 ns/op
WorkloadPilot    9: 4096 op, 1998132.00 ns, 487.8252 ns/op
WorkloadPilot   10: 8192 op, 3766261.00 ns, 459.7487 ns/op
WorkloadPilot   11: 16384 op, 7687179.00 ns, 469.1882 ns/op
WorkloadPilot   12: 32768 op, 15335558.00 ns, 468.0041 ns/op
